geometry_id,run_id,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,detect_threshold_GeV,detection_efficiency,eff_lo,eff_hi,energy_resolution
480b69f7,run811783dec4,10,3,3,4,3.8405,4.2115,4.1487,0.4615,0.3614,0.4485,0.1,5.0,,0.7243333333333334,0.008232055999458532,0.008082550279143175,0.3602800032394445
480b69f7,runb21825ac1c,10,3,3,4,3.8405,4.2115,4.1487,0.4615,0.3614,0.4485,0.1,5.0,,0.718,0.008286946262893613,0.008141661357861985,0.38834549268238594
480b69f7,run49e56a1e21,10,3,3,4,3.8405,4.2115,4.1487,0.4615,0.3614,0.4485,0.1,5.0,,0.7306666666666667,0.008175114869301003,0.008021388333701696,0.378925118816909
b186a1fe,runc76fdfc772,10,3,3,4,3.5534,3.6266,4.3297,0.3863,0.579,0.4793,0.1,5.0,,0.6843333333333333,0.008545930591756679,0.008423082652181058,0.3544661989404949
b186a1fe,runbef89882f8,10,3,3,4,3.5534,3.6266,4.3297,0.3863,0.579,0.4793,0.1,5.0,,0.6803333333333333,0.008573183988402566,0.008453001826900786,0.36553776554953377
b186a1fe,run0112af1f6d,10,3,3,4,3.5534,3.6266,4.3297,0.3863,0.579,0.4793,0.1,5.0,,0.687,0.008527358249512784,0.008402733124554529,0.3604217614225581
8ed50f06,runb7cc559a16,10,3,3,4,3.6626,4.0778,4.2989,0.5013,0.3423,0.4201,0.1,5.0,,0.6916666666666667,0.008494072457320256,0.008366337257942225,0.3891929507333289
8ed50f06,run079cfaa656,10,3,3,4,3.6626,4.0778,4.2989,0.5013,0.3423,0.4201,0.1,5.0,,0.7006666666666667,0.008427018405829156,0.008293285205784762,0.3811965578886421
8ed50f06,runa52865d60b,10,3,3,4,3.6626,4.0778,4.2989,0.5013,0.3423,0.4201,0.1,5.0,,0.6963333333333334,0.008459777916212885,0.008328932642415299,0.3901998349379911
adc9fd26,runc17366135e,10,3,3,4,4.377,4.0142,3.7604,0.37,0.4705,0.5713,0.1,5.0,,0.7026666666666667,0.008411598510302376,0.008276532421221061,0.36736334603743087
adc9fd26,run7bb4a9b64d,10,3,3,4,4.377,4.0142,3.7604,0.37,0.4705,0.5713,0.1,5.0,,0.7183333333333334,0.008284107733585344,0.00813860068038097,0.3516644443287783
adc9fd26,runf65482c568,10,3,3,4,4.377,4.0142,3.7604,0.37,0.4705,0.5713,0.1,5.0,,0.6926666666666667,0.008486808980662564,0.008358407336766072,0.3769100316999131
77a08e81,run056efdd776,10,3,3,4,4.123,4.199,3.51,0.4578,0.309,0.423,0.1,5.0,,0.712,0.008337094234305509,0.008195807996384863,0.38780309089252496
77a08e81,run1f679ab6b9,10,3,3,4,4.123,4.199,3.51,0.4578,0.309,0.423,0.1,5.0,,0.7043333333333334,0.008398602687885948,0.008262425857940459,0.37829472705951417
77a08e81,runeaee3c258d,10,3,3,4,4.123,4.199,3.51,0.4578,0.309,0.423,0.1,5.0,,0.7093333333333334,0.008358812555181783,0.008219303502643771,0.36884014599993986
3d5bc8b6,run404a0b027b,10,3,3,4,4.3708,4.4751,4.476,0.3177,0.3515,0.3678,0.1,5.0,,0.6636666666666666,0.008679071481418,0.00856999672855796,0.35845343624163545
3d5bc8b6,run11cd4e52a8,10,3,3,4,4.3708,4.4751,4.476,0.3177,0.3515,0.3678,0.1,5.0,,0.6843333333333333,0.008545930591756679,0.008423082652181058,0.36890835043314957
3d5bc8b6,run52dfd1d8a2,10,3,3,4,4.3708,4.4751,4.476,0.3177,0.3515,0.3678,0.1,5.0,,0.683,0.008555095465705875,0.00843313611882146,0.3634010133239557
1e9f8f28,runab74d93d54,10,3,3,4,3.6451,4.2735,4.2115,0.571,0.4157,0.4467,0.1,5.0,,0.7193333333333334,0.008275558707625086,0.00812938520990203,0.40802706725436416
1e9f8f28,runbe6f5e5894,10,3,3,4,3.6451,4.2735,4.2115,0.571,0.4157,0.4467,0.1,5.0,,0.7043333333333334,0.008398602687885948,0.008262425857940459,0.3917620229929465
1e9f8f28,run2de3b5d3c0,10,3,3,4,3.6451,4.2735,4.2115,0.571,0.4157,0.4467,0.1,5.0,,0.7043333333333334,0.008398602687885948,0.008262425857940459,0.38143288994602437
333b8387,run28dd21adfb,10,3,3,4,3.6014,3.6079,4.4263,0.5781,0.3684,0.4745,0.1,5.0,,0.7026666666666667,0.008411598510302376,0.008276532421221061,0.3845630515572671
333b8387,run91bb4d3558,10,3,3,4,3.6014,3.6079,4.4263,0.5781,0.3684,0.4745,0.1,5.0,,0.704,0.008401212498361788,0.008265257816589044,0.39021187498316834
333b8387,run577945622b,10,3,3,4,3.6014,3.6079,4.4263,0.5781,0.3684,0.4745,0.1,5.0,,0.725,0.008226159535086652,0.008076209518425581,0.3788626513949622
7e6d18e1,run8abfadbdf8,10,3,3,4,4.3367,4.4554,4.4886,0.5667,0.4664,0.4721,0.1,5.0,,0.7073333333333334,0.008374873757520551,0.00823669759401946,0.40701916649441944
7e6d18e1,runf5d51d7305,10,3,3,4,4.3367,4.4554,4.4886,0.5667,0.4664,0.4721,0.1,5.0,,0.6963333333333334,0.008459777916212885,0.008328932642415299,0.3626981744827784
7e6d18e1,rune406f9e152,10,3,3,4,4.3367,4.4554,4.4886,0.5667,0.4664,0.4721,0.1,5.0,,0.7213333333333334,0.008258309638936034,0.008110803252176058,0.3600634744390997
592c849f,runa3ccba37f8,10,3,3,4,3.9364,3.7426,4.4519,0.3616,0.5378,0.4287,0.1,5.0,,0.7203333333333334,0.008266959397621343,0.008120119455379826,0.3811639988949246
592c849f,rund9cc1216ef,10,3,3,4,3.9364,3.7426,4.4519,0.3616,0.5378,0.4287,0.1,5.0,,0.7236666666666667,0.00823792974209514,0.008088868318125275,0.376923636910963
