geometry_id,n_runs,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,muon_threshold_GeV,detection_efficiency,detection_efficiency_std,eff_lo,eff_lo_std,eff_hi,eff_hi_std,energy_resolution,energy_resolution_std
00a06e3d,3,10,3,3,4,4.041,3.8751,4.1276,0.5299,0.3156,0.3709,0.1,5.0,,0.6865555555555556,0.006012333003763866,0.008529925843875649,4.203320402596805e-05,0.008405596916481128,4.603986355706972e-05,0.4059564450613191,0.0230017617497201
01b49aff,3,10,3,3,4,4.3318,3.5824,4.0594,0.5565,0.5125,0.4013,0.1,5.0,,0.7216666666666667,0.006887992773257255,0.00825461126514715,6.0360594334556855e-05,0.008106882730214352,6.49509119033337e-05,0.3793639673737757,0.009867227719329338
02fd29b6,3,10,3,3,4,3.9208,4.451,3.8779,0.415,0.426,0.4536,0.1,5.0,,0.7045555555555555,0.0021688023662158867,0.008396784553327263,1.7012681317173956e-05,0.008260459624599795,1.8458058148671545e-05,0.3657012466660256,0.0077901549370229
04a2b45c,3,10,3,3,4,4.1571,4.4233,3.7914,0.5005,0.3836,0.5429,0.1,5.0,,0.6703333333333333,0.015602706317957949,0.008634594605752555,0.00010109322312469529,0.008521076889435744,0.00011149148932806454,0.3454979954319346,0.00804150641233616
05b0d3af,3,10,3,3,4,3.914,4.2634,3.98,0.4905,0.3263,0.4607,0.1,5.0,,0.6954444444444444,0.009365025558091352,0.008465021849861568,6.91903287754645e-05,0.008334768971191528,7.543080910390855e-05,0.3832447150989171,0.023811429545570948
06529cd5,3,10,3,3,4,3.8869,3.9481,3.9391,0.5639,0.455,0.5613,0.1,5.0,,0.7426666666666666,0.003333333333333355,0.00806123659532254,3.265423123326036e-05,0.007899512725501415,3.4875683049864466e-05,0.37304704792034427,0.00616098281917904
06896228,3,10,3,3,4,4.4409,4.1857,4.2686,0.3735,0.5107,0.5197,0.1,5.0,,0.6797777777777778,0.008180826726311093,0.008575913851238163,5.394000394666204e-05,0.008456101936691182,5.939206868360635e-05,0.3438715787156051,0.009744982295763175
06d9f36b,3,10,3,3,4,3.8419,4.0813,3.768,0.5404,0.4234,0.4055,0.1,5.0,,0.6721111111111111,0.011451993195428847,0.008625014476721779,7.449417030217699e-05,0.008510311970149953,8.212628507970823e-05,0.3752992288669121,0.004448985726146841
0906da3e,3,10,3,3,4,3.9814,4.3519,3.5733,0.3409,0.5729,0.4666,0.1,5.0,,0.6661111111111111,0.006850250063021538,0.008663621897872916,4.2327441092123394e-05,0.008552918058412073,4.689273382416582e-05,0.3695839942726349,0.018855687540335068
0ae9ca8a,3,10,3,3,4,3.9871,4.2256,4.4207,0.5232,0.3902,0.3639,0.1,5.0,,0.6982222222222223,0.004438885412319568,0.008445297749930525,3.333791090058987e-05,0.008313193636486785,3.629612646672333e-05,0.39432708358430696,0.010097795078342848
0b399fc2,3,10,3,3,4,3.8095,3.7578,4.3818,0.4284,0.3075,0.539,0.1,5.0,,0.6739999999999999,0.012875471943885297,0.008612410474594157,8.407284199938543e-05,0.008496449128376252,9.26518101533258e-05,0.355370606183794,0.007546482989000807
0b7e0b3f,3,10,3,3,4,3.9588,3.8067,4.0175,0.3471,0.358,0.3213,0.1,5.0,,0.7077777777777777,0.011796107330308066,0.008369059755006347,9.591565365030064e-05,0.008230587393941521,0.00010377644125688679,0.3890634677317896,0.013569678037934168
0c8ccd20,3,10,3,3,4,4.3973,4.4864,4.4639,0.5802,0.5304,0.3903,0.1,5.0,,0.7063333333333334,0.012124355652982153,0.008380481265619633,9.418375109152547e-05,0.008242971546637076,0.0001022639614568289,0.3842079628924305,0.015951007130877503
0ed84c94,3,10,3,3,4,3.5968,4.0514,4.1197,0.4169,0.5011,0.3284,0.1,5.0,,0.7048888888888888,0.006752228712994882,0.008393512436655056,5.264551449199652e-05,0.008256965359754842,5.71453616549901e-05,0.3854295849953453,0.015556193256533792
0ffe3005,3,10,3,3,4,3.6435,4.0618,4.2112,0.5933,0.4863,0.5657,0.1,5.0,,0.7045555555555555,0.0015752718754175506,0.008396820092537172,1.2390604874936224e-05,0.008260495163809703,1.344043485192471e-05,0.35972248134884405,0.008757872706858011
1003b691,3,10,3,3,4,4.0698,4.1667,4.3922,0.4384,0.5493,0.3252,0.1,5.0,,0.694,0.006082762530298225,0.008476475354827909,4.518827730791028e-05,0.008347185118240138,4.92420875671648e-05,0.3744073015619207,0.008559477702681992
162d01ce,3,10,3,3,4,3.5287,3.8922,3.9709,0.5033,0.4487,0.4313,0.1,5.0,,0.7104444444444445,0.013167018279412041,0.008346960905102377,0.00010916403748687378,0.008206711358654917,0.0001179384509624511,0.3737897001833348,0.009373221670516624
17415312,3,10,3,3,4,4.0172,3.9286,3.8059,0.3625,0.4581,0.4485,0.1,5.0,,0.6818888888888889,0.01133986739748715,0.00856073646819877,7.690912585707337e-05,0.00843951761522388,8.446489994469819e-05,0.36008832073545216,0.013787252331303231
17adabbe,3,10,3,3,4,4.0338,4.4708,4.2889,0.3672,0.3588,0.4887,0.1,5.0,,0.7015555555555556,0.00683401080652526,0.008419447429271957,5.263765720959236e-05,0.008285121834100018,5.719183500823562e-05,0.3631734992871059,0.01406939596500666
18df08f3,3,10,3,3,4,4.3232,3.5452,3.8459,0.3831,0.4885,0.3615,0.1,5.0,,0.6884444444444444,0.01470575599074249,0.008513868661183236,0.00010228430515387813,0.008388280894142638,0.00011208322074606942,0.37234196563829797,0.01892831657390621
1f7216a4,3,10,3,3,4,4.1128,3.8218,4.4494,0.3508,0.4004,0.4577,0.1,5.0,,0.73,0.005291502622129186,0.008180721459088658,4.790971583593298e-05,0.008027439219835139,5.14361717118975e-05,0.3933029288151499,0.0037389657404661384
20e8e452,3,10,3,3,4,3.727,3.9876,4.2375,0.4717,0.3959,0.5311,0.1,5.0,,0.7067777777777778,0.009002057378012938,0.008377994896689963,7.156705201863372e-05,0.00824018898014367,7.756573502804461e-05,0.3648668904747267,0.009743160072511659
24ea854e,3,10,3,3,4,3.8662,4.4542,4.37,0.5859,0.4927,0.4417,0.1,5.0,,0.7041111111111111,0.002834966849371839,0.008400214463237687,2.2285149053532335e-05,0.008264185732073956,2.4174491583647845e-05,0.37811124855670825,0.015420060596072972
26b3fd31,3,10,3,3,4,3.8388,4.4462,3.8727,0.4192,0.5565,0.5172,0.1,5.0,,0.681,0.0063333333333333575,0.008568089503704135,4.277759514334858e-05,0.008447463045856788,4.6998124702079513e-05,0.3476198298578817,0.006076095215377052
2bcb50dc,3,10,3,3,4,4.1213,3.7875,4.0814,0.3351,0.3988,0.4636,0.1,5.0,,0.7017777777777777,0.006406015691288722,0.008417822515083198,4.967916686095265e-05,0.008283348821129355,5.394821560441561e-05,0.3842855917966604,0.013535445389510696
2cb4f0af,3,10,3,3,4,3.7349,4.0908,4.2229,0.3118,0.4073,0.3087,0.1,5.0,,0.7146666666666667,0.006887992773257245,0.00831424426751289,5.721582244976685e-05,0.008171180844209536,6.180602937504946e-05,0.38670987657715067,0.009860758152635539
2dfa296a,3,10,3,3,4,3.627,4.3596,4.3156,0.3019,0.4039,0.4556,0.1,5.0,,0.6993333333333333,0.008006941432976252,0.00843617810627062,6.153387422638277e-05,0.008303333498917579,6.686985346990953e-05,0.36524790551593833,0.007828223931359774
2f527494,3,10,3,3,4,3.7644,4.477,4.4318,0.3617,0.5824,0.5559,0.1,5.0,,0.6956666666666668,0.005773502691896263,0.008464217439706934,4.333219423241306e-05,0.008333816462255061,4.717991345399833e-05,0.3475019142756051,0.017498825326129928
304bfb5d,3,10,3,3,4,4.1376,3.9633,4.4037,0.3703,0.3178,0.3534,0.1,5.0,,0.6947777777777778,0.004167777629669148,0.008471052381553212,3.0561563922261346e-05,0.008341243799228812,3.333914715852396e-05,0.37993856965284606,0.012140718220141036
314a9d82,3,10,3,3,4,4.2134,3.9434,3.5475,0.5344,0.4832,0.5678,0.1,5.0,,0.6857777777777777,0.002009237924447242,0.008535849469704168,1.3988872180688602e-05,0.008412038888046203,1.5327909672672493e-05,0.3571548607356246,0.007043427673362999
3165c29c,3,10,3,3,4,3.699,4.4141,3.6968,0.4681,0.5444,0.4695,0.1,5.0,,0.7287777777777777,0.0050479185296002345,0.008191875008041046,4.536890023309234e-05,0.008039407312087818,4.8733041254116526e-05,0.3700183835681659,0.012990758633012809
31674628,3,10,3,3,4,3.7476,4.3099,4.3014,0.4937,0.3872,0.5711,0.1,5.0,,0.703,0.008838049055708539,0.00840776422022708,6.883298239141037e-05,0.008272475982972871,7.472239226304971e-05,0.3576059370222482,0.008340455381577466
3460e216,3,10,3,3,4,4.4934,3.7981,3.9594,0.5482,0.4144,0.3162,0.1,5.0,,0.6986666666666667,0.005507570547286107,0.008441769450156178,4.208150436228196e-05,0.008309369139148703,4.575198273681561e-05,0.4128511648779584,0.019238034769475443
34963d76,3,10,3,3,4,4.0619,4.2867,4.2611,0.385,0.3784,0.3195,0.1,5.0,,0.7183333333333333,0.011015141094572214,0.008282066552149433,9.56212784006504e-05,0.008136559498944984,0.0001029621753851422,0.38518173218682944,0.008399817992464316
34e6c89e,3,10,3,3,4,3.507,4.3139,4.1213,0.3286,0.5321,0.4518,0.1,5.0,,0.7101111111111112,0.0003849001794597722,0.008352511551082483,3.1222125387210426e-06,0.008212484152807916,3.378727153519033e-06,0.37810880325608937,0.006459451093712105
361a0675,3,10,3,3,4,4.1941,4.0363,3.657,0.3542,0.3306,0.3764,0.1,5.0,,0.7266666666666667,0.0027284509239574747,0.008211190892109643,2.434720731364942e-05,0.008060130134584323,2.6165557209510748e-05,0.38257341872061645,0.020955748484448634
361ac74f,3,10,3,3,4,3.6138,3.6732,4.0268,0.5121,0.4663,0.4801,0.1,5.0,,0.6792222222222222,0.01206617555783905,0.008578440164977922,8.188192055985306e-05,0.008458998497385664,8.992236428654899e-05,0.3573593222711726,0.007723256734975641
365997f6,3,10,3,3,4,3.626,3.5178,3.6382,0.394,0.506,0.5283,0.1,5.0,,0.6972222222222223,0.018470196213038637,0.008447828964507834,0.0001342314432329916,0.008316391295582704,0.0001465402237172531,0.3649354467262976,0.021248823095407224
396acebf,3,10,3,3,4,3.5204,3.5905,4.2402,0.3773,0.5634,0.4093,0.1,5.0,,0.6716666666666667,0.0025166114784235852,0.0086296804622256,1.597637026929602e-05,0.008515274153217511,1.7653535114527862e-05,0.3637710437880382,0.0037256677985499616
3f1661c7,3,10,3,3,4,4.2261,4.2819,3.7519,0.4567,0.3433,0.3812,0.1,5.0,,0.7142222222222223,0.004682512779045646,0.008318367587159389,3.8882265056633886e-05,0.008175600361419844,4.2002811952107995e-05,0.3917857172375294,0.019353323925609
3fb3de42,3,10,3,3,4,4.4491,3.9253,4.23,0.3175,0.5167,0.5856,0.1,5.0,,0.6633333333333333,0.0014529663145135888,0.008681034740534646,8.654951732611314e-06,0.008572182135847354,9.623272707403037e-06,0.36660388612405187,0.004971340947848028
3fef3a2c,3,10,3,3,4,3.701,4.3995,4.1047,0.5042,0.336,0.3232,0.1,5.0,,0.7028888888888889,0.00719052874993929,0.008409052568504808,5.521519531327381e-05,0.008273838380641515,6.0007222962765224e-05,0.39600425952940493,0.01977051154794712
41f1a438,3,10,3,3,4,3.7096,4.1076,4.2011,0.3808,0.5611,0.423,0.1,5.0,,0.6938888888888889,0.00734342739638144,0.008477031102440987,5.382624512758123e-05,0.00834781491524413,5.871983456239473e-05,0.37010607757217934,0.022231333249925603
4263b5c8,3,10,3,3,4,4.364,4.2696,3.812,0.5462,0.5548,0.4209,0.1,5.0,,0.6667777777777778,0.00655178799458027,0.008659606699226052,4.065631367226126e-05,0.008548458563419495,4.502270882750122e-05,0.36511946450750843,0.010206919721682937
447d5542,3,10,3,3,4,4.0007,3.7431,4.2952,0.5443,0.3292,0.4246,0.1,5.0,,0.707,0.0050332229568471705,0.008377123572511044,3.997917200522603e-05,0.008239169557182846,4.333342849416648e-05,0.3896379023147157,0.009881392741872072
4715fe56,3,10,3,3,4,3.9608,3.5472,3.5206,0.4271,0.4285,0.3577,0.1,5.0,,0.7016666666666667,0.010000000000000009,0.008417744266606872,7.713445459269348e-05,0.008283344622043942,8.379792467604894e-05,0.39792701734010744,0.004036310533169842
4b91d386,3,10,3,3,4,3.8194,4.2071,3.854,0.4014,0.5031,0.3871,0.1,5.0,,0.7007777777777777,0.004992587097480235,0.008425771245425318,3.8520462471005716e-05,0.008291963995989934,4.1847681378879176e-05,0.3765599045798074,0.011229072735653286
4d47a768,3,10,3,3,4,4.0216,3.6619,3.7807,0.561,0.3094,0.3055,0.1,5.0,,0.6992222222222222,0.0006938886664886967,0.008438029196647786,5.274243591703977e-06,0.008305258638685661,5.736681743768104e-06,0.42175058976995805,0.018866741499502626
4f1a0413,3,10,3,3,4,3.66,3.7222,3.6088,0.4466,0.3507,0.3948,0.1,5.0,,0.6931111111111111,0.002219442706159784,0.00848348957082734,1.6178211164153027e-05,0.00835479172936704,1.7657339476588286e-05,0.37553804180060507,0.008384851349896043
4f73e4af,3,10,3,3,4,4.0124,3.8152,3.7644,0.3894,0.5802,0.5255,0.1,5.0,,0.6915555555555555,0.013368010461684435,0.008492121443591941,9.628496691624836e-05,0.0083644602936049,0.0001051916079495154,0.3623363838799912,0.014406228980554723
5184ef5b,3,10,3,3,4,3.895,3.5591,4.1945,0.4803,0.3746,0.598,0.1,5.0,,0.7131111111111111,0.0062568481001338055,0.008327299835824956,5.144550239708925e-05,0.008185273103994787,5.561517221323806e-05,0.355800748740819,0.020039307319681177
