geometry_id,run_id,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,gun_energy_GeV,detect_threshold_GeV,detection_efficiency,eff_lo,eff_hi,energy_resolution
96a716b5,run6bbc24ae72,10,3,3,4,3.9285,3.8668,3.9934,0.3269,0.3452,0.4132,0.1,5.0,,0.6873333333333334,0.00852501387865523,0.008400166605524007,0.3771538126947131
96a716b5,run0b68ecb15b,10,3,3,4,3.9285,3.8668,3.9934,0.3269,0.3452,0.4132,0.1,5.0,,0.6983333333333334,0.008444768259186275,0.008312590096351768,0.36113890018856687
314a9d82,run7c1eaded88,10,3,3,4,4.2134,3.9434,3.5475,0.5344,0.4832,0.5678,0.1,5.0,,0.6876666666666666,0.008522664420221426,0.008397594998917457,0.350869793979362
314a9d82,runa71b4b7390,10,3,3,4,4.2134,3.9434,3.5475,0.5344,0.4832,0.5678,0.1,5.0,,0.686,0.00853436088081616,0.008410402200376366,0.3647676653909703
314a9d82,run8ea1a25bc1,10,3,3,4,4.2134,3.9434,3.5475,0.5344,0.4832,0.5678,0.1,5.0,,0.6836666666666666,0.008550523108074914,0.008428119464844785,0.3558271228365415
c5dcd688,run364ad881ed,10,3,3,4,3.9792,4.06,4.1705,0.4887,0.5796,0.5452,0.1,5.0,,0.709,0.008361502924942421,0.008222216020577156,0.3617215233373673
c5dcd688,run0d64f655c0,10,3,3,4,3.9792,4.06,4.1705,0.4887,0.5796,0.5452,0.1,5.0,,0.7113333333333334,0.008342556452738958,0.008201714511164027,0.3436836632291994
c5dcd688,run1148b24c7d,10,3,3,4,3.9792,4.06,4.1705,0.4887,0.5796,0.5452,0.1,5.0,,0.6883333333333334,0.008517950222849624,0.00839243650519994,0.33471692743078124
790e3e81,run3fd300d847,10,3,3,4,3.876,4.2278,4.1117,0.487,0.5207,0.3441,0.1,5.0,,0.7083333333333334,0.00836686744487003,0.008228024836850478,0.37201981128384587
790e3e81,runaffc448ff0,10,3,3,4,3.876,4.2278,4.1117,0.487,0.5207,0.3441,0.1,5.0,,0.711,0.008345279388449756,0.00820465959504757,0.38324953728154
790e3e81,runa3045eff84,10,3,3,4,3.876,4.2278,4.1117,0.487,0.5207,0.3441,0.1,5.0,,0.709,0.008361502924942421,0.008222216020577156,0.3863353121837624
304bfb5d,runf775414f7b,10,3,3,4,4.1376,3.9633,4.4037,0.3703,0.3178,0.3534,0.1,5.0,,0.6976666666666667,0.008449792393709465,0.008318058527220451,0.36744666176984386
304bfb5d,run3d6470ace0,10,3,3,4,4.1376,3.9633,4.4037,0.3703,0.3178,0.3534,0.1,5.0,,0.6966666666666667,0.008457289366701315,0.008326221944730983,0.38067442223567804
304bfb5d,runa3fab8eb28,10,3,3,4,4.1376,3.9633,4.4037,0.3703,0.3178,0.3534,0.1,5.0,,0.69,0.008506075384248857,0.008379450925735,0.3916946249530161
aef4aac0,runddc081419a,10,3,3,4,4.4827,3.6493,4.0726,0.5376,0.52,0.5337,0.1,5.0,,0.6853333333333333,0.008539003944566637,0.008415489560472555,0.38527509564504975
aef4aac0,run8bd25f806f,10,3,3,4,4.4827,3.6493,4.0726,0.5376,0.52,0.5337,0.1,5.0,,0.683,0.008555095465705875,0.00843313611882146,0.32869331061018087
aef4aac0,run89cae03582,10,3,3,4,4.4827,3.6493,4.0726,0.5376,0.52,0.5337,0.1,5.0,,0.6896666666666667,0.00850846058085264,0.00838205827051175,0.3596135573721999
996d15c3,run8e8ecbc797,10,3,3,4,3.7704,4.3767,4.3225,0.4481,0.3111,0.332,0.1,5.0,,0.696,0.008462261253071146,0.008331638127446306,0.3742714002750228
996d15c3,runc31aafb2ed,10,3,3,4,3.7704,4.3767,4.3225,0.4481,0.3111,0.332,0.1,5.0,,0.6916666666666667,0.008494072457320256,0.008366337257942225,0.4159536900115189
996d15c3,run7bb02ffc52,10,3,3,4,3.7704,4.3767,4.3225,0.4481,0.3111,0.332,0.1,5.0,,0.7096666666666667,0.008356116771581878,0.008216385570871121,0.39496449888540164
e3d99056,run0c93c6c2ca,10,3,3,4,4.3115,4.4629,3.8237,0.3485,0.3622,0.4452,0.1,5.0,,0.6816666666666666,0.008564179841152764,0.008443109086959777,0.3782926025949628
e3d99056,runfc3db423b2,10,3,3,4,4.3115,4.4629,3.8237,0.3485,0.3622,0.4452,0.1,5.0,,0.6906666666666667,0.008501289615973628,0.008374220861114057,0.3602576995877987
e3d99056,run82b9409786,10,3,3,4,4.3115,4.4629,3.8237,0.3485,0.3622,0.4452,0.1,5.0,,0.6806666666666666,0.008570940458332177,0.00845053614865765,0.356510609779451
b4ad3893,run0e157d44f6,10,3,3,4,4.0287,4.1418,4.0636,0.4328,0.547,0.5794,0.1,5.0,,0.6896666666666667,0.00850846058085264,0.00838205827051175,0.36506653399035327
b4ad3893,run722dccdfb9,10,3,3,4,4.0287,4.1418,4.0636,0.4328,0.547,0.5794,0.1,5.0,,0.6953333333333334,0.008467212308132965,0.00833703347885384,0.3428758892160401
b4ad3893,runcb58d03e52,10,3,3,4,4.0287,4.1418,4.0636,0.4328,0.547,0.5794,0.1,5.0,,0.6893333333333334,0.008510840658494612,0.008384660496326468,0.3460077028858652
4f1a0413,rundafff89148,10,3,3,4,3.66,3.7222,3.6088,0.4466,0.3507,0.3948,0.1,5.0,,0.6936666666666667,0.008479499060558338,0.008350430972143386,0.3700047851537681
4f1a0413,run7db574c523,10,3,3,4,3.66,3.7222,3.6088,0.4466,0.3507,0.3948,0.1,5.0,,0.6906666666666667,0.008501289615973628,0.008374220861114057,0.3851852976622666
4f1a0413,run2b04aa2097,10,3,3,4,3.66,3.7222,3.6088,0.4466,0.3507,0.3948,0.1,5.0,,0.695,0.008469680035950056,0.008339723354843676,0.3714240425857803
8f701ccb,run2a271ce67b,10,3,3,4,3.7599,4.1595,4.4582,0.5433,0.3487,0.5266,0.1,5.0,,0.7316666666666667,0.00816593375736474,0.008011540777246973,0.3691330621057205
8f701ccb,runb11fade8ed,10,3,3,4,3.7599,4.1595,4.4582,0.5433,0.3487,0.5266,0.1,5.0,,0.7426666666666667,0.008061438810004096,0.007899714940183045,0.39390247392164224
8f701ccb,run59e36f78b2,10,3,3,4,3.7599,4.1595,4.4582,0.5433,0.3487,0.5266,0.1,5.0,,0.725,0.008226159535086652,0.008076209518425581,0.38874129779659106
ac167f59,rundbc9449a43,10,3,3,4,3.8272,3.7809,3.9247,0.397,0.4246,0.3125,0.1,5.0,,0.6816666666666666,0.008564179841152764,0.008443109086959777,0.38962580831728166
ac167f59,run46a6648bfb,10,3,3,4,3.8272,3.7809,3.9247,0.397,0.4246,0.3125,0.1,5.0,,0.6726666666666666,0.008623414081854852,0.008508341328328228,0.37859071953564405
ac167f59,run912984176c,10,3,3,4,3.8272,3.7809,3.9247,0.397,0.4246,0.3125,0.1,5.0,,0.679,0.008582108174290615,0.008462814605480262,0.4013621019812881
74b1c79d,run020755ac5c,10,3,3,4,3.8815,4.138,3.7176,0.5116,0.4048,0.3485,0.1,5.0,,0.6793333333333333,0.008579884609733024,0.008460368892749703,0.3787783044324492
74b1c79d,runef39f5e6d7,10,3,3,4,3.8815,4.138,3.7176,0.5116,0.4048,0.3485,0.1,5.0,,0.7063333333333334,0.00838283163931075,0.00824532192032812,0.39420322750603554
74b1c79d,run865a2851e0,10,3,3,4,3.8815,4.138,3.7176,0.5116,0.4048,0.3485,0.1,5.0,,0.699,0.008439723156783319,0.008307100697603098,0.37734474366662957
6112e9a9,run43b6a0eb89,10,3,3,4,3.6755,4.3059,3.8639,0.4085,0.4628,0.4848,0.1,5.0,,0.6836666666666666,0.008550523108074914,0.008428119464844785,0.361643117314706
6112e9a9,run028a611278,10,3,3,4,3.6755,4.3059,3.8639,0.4085,0.4628,0.4848,0.1,5.0,,0.6756666666666666,0.008604070528370644,0.00848699844128864,0.34683770692528915
6112e9a9,runb155d83213,10,3,3,4,3.6755,4.3059,3.8639,0.4085,0.4628,0.4848,0.1,5.0,,0.6913333333333334,0.008496483317156578,0.008368970265951514,0.35187327393914736
96f7cf28,runba1ea3f2ad,10,3,3,4,4.2883,3.7138,4.1744,0.403,0.5939,0.5219,0.1,5.0,,0.7,0.008432116101721565,0.008298827198022884,0.34582726013473036
96f7cf28,runa73a2e560d,10,3,3,4,4.2883,3.7138,4.1744,0.403,0.5939,0.5219,0.1,5.0,,0.706,0.00838547352921959,0.008248185958409926,0.3590971658672836
96f7cf28,runbc4a3a7beb,10,3,3,4,4.2883,3.7138,4.1744,0.403,0.5939,0.5219,0.1,5.0,,0.6933333333333334,0.008481940868769633,0.008353094928527427,0.35249589425280553
befdf306,runa62f7dfb22,10,3,3,4,3.5057,3.6904,4.0492,0.52,0.3805,0.4294,0.1,5.0,,0.6896666666666667,0.00850846058085264,0.00838205827051175,0.3763437214983052
befdf306,run51a9e36c17,10,3,3,4,3.5057,3.6904,4.0492,0.52,0.3805,0.4294,0.1,5.0,,0.6726666666666666,0.008623414081854852,0.008508341328328228,0.388907184642896
befdf306,rund937428720,10,3,3,4,3.5057,3.6904,4.0492,0.52,0.3805,0.4294,0.1,5.0,,0.6816666666666666,0.008564179841152764,0.008443109086959777,0.3833569973101457
3165c29c,run1d5a361722,10,3,3,4,3.699,4.4141,3.6968,0.4681,0.5444,0.4695,0.1,5.0,,0.7323333333333333,0.008159783896915407,0.008004946620451925,0.37845400711816535
3165c29c,run09708697ee,10,3,3,4,3.699,4.4141,3.6968,0.4681,0.5444,0.4695,0.1,5.0,,0.723,0.00824378081385957,0.008095163686235418,0.3765425456040269
3165c29c,run2e02a93920,10,3,3,4,3.699,4.4141,3.6968,0.4681,0.5444,0.4695,0.1,5.0,,0.731,0.008172060313348162,0.008018111629576108,0.35505859798230544
02fd29b6,runbe9a82d620,10,3,3,4,3.9208,4.451,3.8779,0.415,0.426,0.4536,0.1,5.0,,0.7023333333333334,0.008414181731697612,0.008279337790789043,0.371652113031676
02fd29b6,run667c3bb4f5,10,3,3,4,3.9208,4.451,3.8779,0.415,0.426,0.4536,0.1,5.0,,0.7066666666666667,0.00838018438428978,0.008242452517134402,0.36856763734792364
